tissue	gene	HPA_expr
lung	RNF215	8
pancreas	RNF215	2
rectum	RNF215	4.3
skin	RNF215	7.3
bone marrow	SEC14L2	2.4
colon	SEC14L2	0.9
lung	SEC14L2	3
pancreas	SEC14L2	0.4
rectum	SEC14L2	1.2
skin	SEC14L2	5.3
bone marrow	SEC14L3	2.3
colon	SEC14L3	0
lung	SEC14L3	1.5
pancreas	SEC14L3	0
rectum	SEC14L3	0
skin	SEC14L3	0.2
bone marrow	SPECC1L	7.9
colon	SPECC1L	14.8
lung	SPECC1L	25.4
pancreas	SPECC1L	2.7
rectum	SPECC1L	17.9
skin	SPECC1L	8.4
bone marrow	PPIL2	8.6
colon	PPIL2	12.4
lung	PPIL2	15.6
pancreas	PPIL2	3.5
rectum	PPIL2	13.4
skin	PPIL2	14.9
bone marrow	UPB1	2.9
colon	UPB1	0.1
lung	UPB1	0.9
pancreas	UPB1	0
rectum	UPB1	0.2
skin	UPB1	0.4
bone marrow	YPEL1	2
colon	YPEL1	1.6
lung	YPEL1	5.6
pancreas	YPEL1	0.3
rectum	YPEL1	1.8
skin	YPEL1	1.7
bone marrow	SNRPD3	33.4
colon	SNRPD3	59.5
lung	SNRPD3	50.1
pancreas	SNRPD3	5.1
rectum	SNRPD3	54.6
skin	SNRPD3	32.4
bone marrow	PES1	21.6
colon	PES1	23.1
lung	PES1	29.1
pancreas	PES1	8.1
rectum	PES1	21.5
skin	PES1	40
bone marrow	MAPK1	24.3
colon	MAPK1	30.6
lung	MAPK1	49.3
pancreas	MAPK1	6.8
rectum	MAPK1	35
skin	MAPK1	34.1
bone marrow	GGT1	9.6
colon	GGT1	19
lung	GGT1	43.9
pancreas	GGT1	9.9
rectum	GGT1	12.6
skin	GGT1	2.5
bone marrow	PRODH	0
colon	PRODH	0.7
lung	PRODH	4.8
pancreas	PRODH	0
rectum	PRODH	0.3
skin	PRODH	5.1
bone marrow	PPM1F	16.9
colon	PPM1F	6.7
lung	PPM1F	29.1
pancreas	PPM1F	2.1
rectum	PPM1F	4.6
skin	PPM1F	17.5
bone marrow	SLC35E4	0.9
colon	SLC35E4	2.5
lung	SLC35E4	1
pancreas	SLC35E4	0.3
rectum	SLC35E4	1.8
skin	SLC35E4	3.8
bone marrow	TOP3B	10.5
colon	TOP3B	7.2
lung	TOP3B	8.6
pancreas	TOP3B	0.9
rectum	TOP3B	11
skin	TOP3B	14.4
bone marrow	CRYBB3	0
colon	CRYBB3	0.6
lung	CRYBB3	0.4
pancreas	CRYBB3	0
rectum	CRYBB3	0.5
skin	CRYBB3	1
bone marrow	CYTH4	34.5
colon	CYTH4	9.8
lung	CYTH4	26.9
pancreas	CYTH4	0.5
rectum	CYTH4	10.2
skin	CYTH4	2.5
bone marrow	DGCR14	0.1
colon	DGCR14	0.6
lung	DGCR14	0.8
pancreas	DGCR14	0
rectum	DGCR14	0.5
skin	DGCR14	1.5
bone marrow	MFNG	21
colon	MFNG	9.4
lung	MFNG	35.2
pancreas	MFNG	0.6
rectum	MFNG	8.2
skin	MFNG	5.9
bone marrow	CARD10	0
colon	CARD10	13
lung	CARD10	8.8
pancreas	CARD10	1.8
rectum	CARD10	9.5
skin	CARD10	10.8
bone marrow	LRP5L	7.5
colon	LRP5L	2.2
lung	LRP5L	3.8
pancreas	LRP5L	0.8
rectum	LRP5L	2.9
skin	LRP5L	4.2
bone marrow	SLC25A1	8.7
colon	SLC25A1	49.7
lung	SLC25A1	36
pancreas	SLC25A1	8.5
rectum	SLC25A1	36.3
skin	SLC25A1	37
bone marrow	GRK3	4.9
colon	GRK3	3
lung	GRK3	13.9
pancreas	GRK3	1.5
rectum	GRK3	4.4
skin	GRK3	4.1
bone marrow	PLA2G3	0
colon	PLA2G3	0
lung	PLA2G3	3.6
pancreas	PLA2G3	0
rectum	PLA2G3	0
skin	PLA2G3	10.2
bone marrow	LGALS2	11
colon	LGALS2	55.8
lung	LGALS2	13
pancreas	LGALS2	45.2
rectum	LGALS2	90.2
skin	LGALS2	11.7
bone marrow	GGA1	23.9
colon	GGA1	19.9
lung	GGA1	31.1
pancreas	GGA1	5.5
rectum	GGA1	19.5
skin	GGA1	38.7
bone marrow	HIRA	16.4
colon	HIRA	11.8
lung	HIRA	15.1
pancreas	HIRA	2.6
rectum	HIRA	11.1
skin	HIRA	14.3
bone marrow	SH3BP1	7.9
colon	SH3BP1	9.5
lung	SH3BP1	5.7
pancreas	SH3BP1	0.1
rectum	SH3BP1	4.1
skin	SH3BP1	16.1
bone marrow	SEZ6L	0.1
colon	SEZ6L	0.2
lung	SEZ6L	0.4
pancreas	SEZ6L	0.3
rectum	SEZ6L	0.3
skin	SEZ6L	0.1
bone marrow	LGALS1	179.4
colon	LGALS1	321.8
lung	LGALS1	519.3
pancreas	LGALS1	22.1
rectum	LGALS1	205.8
skin	LGALS1	177
bone marrow	HPS4	6.7
colon	HPS4	6.6
lung	HPS4	9.8
pancreas	HPS4	2.6
rectum	HPS4	6.1
skin	HPS4	16.7
bone marrow	PIK3IP1	26.4
colon	PIK3IP1	17.8
lung	PIK3IP1	67
pancreas	PIK3IP1	1.5
rectum	PIK3IP1	17.2
skin	PIK3IP1	39.1
bone marrow	SRRD	3.9
colon	SRRD	4.8
lung	SRRD	8
pancreas	SRRD	1
rectum	SRRD	5.7
skin	SRRD	7.3
bone marrow	PATZ1	9.8
colon	PATZ1	8.7
lung	PATZ1	16.9
pancreas	PATZ1	2.8
rectum	PATZ1	7.5
skin	PATZ1	6.3
bone marrow	TRIOBP	16.3
colon	TRIOBP	28.6
lung	TRIOBP	45
pancreas	TRIOBP	4.9
rectum	TRIOBP	18.6
skin	TRIOBP	24.5
bone marrow	TFIP11	45
colon	TFIP11	12.9
lung	TFIP11	21.8
pancreas	TFIP11	3.7
rectum	TFIP11	14.1
skin	TFIP11	26.5
bone marrow	GCAT	9.2
colon	GCAT	6.9
lung	GCAT	4.2
pancreas	GCAT	28.9
rectum	GCAT	5.2
skin	GCAT	5.2
bone marrow	GGTLC2	0
colon	GGTLC2	0
lung	GGTLC2	0.1
pancreas	GGTLC2	0
rectum	GGTLC2	0
skin	GGTLC2	0
bone marrow	CRYBB1	0.3
colon	CRYBB1	0.5
lung	CRYBB1	0.7
pancreas	CRYBB1	0
rectum	CRYBB1	0.4
skin	CRYBB1	0.1
bone marrow	ANKRD54	3.5
colon	ANKRD54	7.5
lung	ANKRD54	9.1
pancreas	ANKRD54	3.5
rectum	ANKRD54	6.5
skin	ANKRD54	9.3
bone marrow	EIF3L	52.1
colon	EIF3L	54.6
lung	EIF3L	72.2
pancreas	EIF3L	22.5
rectum	EIF3L	68.3
skin	EIF3L	52
bone marrow	SNU13	82.1
colon	SNU13	71
lung	SNU13	87.8
pancreas	SNU13	15.3
rectum	SNU13	73.6
skin	SNU13	77.1
bone marrow	MICALL1	6.1
colon	MICALL1	12.4
lung	MICALL1	15.7
pancreas	MICALL1	4.2
rectum	MICALL1	10.6
skin	MICALL1	39.4
bone marrow	POLR2F	23.3
colon	POLR2F	39
lung	POLR2F	34.9
pancreas	POLR2F	7.6
rectum	POLR2F	31.1
skin	POLR2F	23
bone marrow	SOX10	0
colon	SOX10	3.4
lung	SOX10	0
pancreas	SOX10	0.1
rectum	SOX10	2.9
skin	SOX10	19.8
bone marrow	CCDC134	8.4
colon	CCDC134	3.5
lung	CCDC134	4.3
pancreas	CCDC134	1.1
rectum	CCDC134	4
skin	CCDC134	5.4
bone marrow	DEPDC5	5.6
colon	DEPDC5	6.7
lung	DEPDC5	5.9
pancreas	DEPDC5	0.5
rectum	DEPDC5	8
skin	DEPDC5	5.5
bone marrow	PICK1	3.4
colon	PICK1	11.8
lung	PICK1	15.1
pancreas	PICK1	3.2
rectum	PICK1	13.5
skin	PICK1	10
bone marrow	TTC28	0.5
colon	TTC28	3.1
lung	TTC28	9.7
pancreas	TTC28	1
rectum	TTC28	3.2
skin	TTC28	3
bone marrow	SLC16A8	0.6
colon	SLC16A8	0.2
lung	SLC16A8	0.8
pancreas	SLC16A8	0.3
rectum	SLC16A8	0
skin	SLC16A8	3.2
bone marrow	CENPM	17.6
colon	CENPM	9.3
lung	CENPM	2.6
pancreas	CENPM	0.1
rectum	CENPM	5.5
skin	CENPM	6.4
bone marrow	SEPT3	0.1
colon	SEPT3	0.5
lung	SEPT3	1.1
pancreas	SEPT3	0.2
rectum	SEPT3	0.6
skin	SEPT3	1.9
bone marrow	SLC5A1	0
colon	SLC5A1	9.5
lung	SLC5A1	3.2
pancreas	SLC5A1	0.3
rectum	SLC5A1	10.2
skin	SLC5A1	11.4
bone marrow	SLC5A4	0
colon	SLC5A4	0.1
lung	SLC5A4	2.3
pancreas	SLC5A4	0
rectum	SLC5A4	0.1
skin	SLC5A4	0.4
bone marrow	KDELR3	1.2
colon	KDELR3	16.9
lung	KDELR3	11.7
pancreas	KDELR3	3.1
rectum	KDELR3	23.7
skin	KDELR3	3.8
bone marrow	CYP2D6	0.2
colon	CYP2D6	0.2
lung	CYP2D6	0.1
pancreas	CYP2D6	0.1
rectum	CYP2D6	0
skin	CYP2D6	0
bone marrow	DDX17	47
colon	DDX17	93.5
lung	DDX17	198.2
pancreas	DDX17	21.6
rectum	DDX17	127.1
skin	DDX17	233.8
bone marrow	DMC1	1.5
colon	DMC1	0.9
lung	DMC1	0.5
pancreas	DMC1	0.1
rectum	DMC1	1.2
skin	DMC1	2
bone marrow	TCF20	0.9
colon	TCF20	1.3
lung	TCF20	1.7
pancreas	TCF20	0.2
rectum	TCF20	1.5
skin	TCF20	2.4
bone marrow	HSCB	2
colon	HSCB	5.1
lung	HSCB	6.6
pancreas	HSCB	1.3
rectum	HSCB	4.9
skin	HSCB	6.8
bone marrow	CBY1	4.1
colon	CBY1	25
lung	CBY1	35.4
pancreas	CBY1	5.9
rectum	CBY1	30.8
skin	CBY1	32.6
bone marrow	TOMM22	18.5
colon	TOMM22	22.4
lung	TOMM22	17.4
pancreas	TOMM22	4.4
rectum	TOMM22	30.2
skin	TOMM22	19.7
bone marrow	RSPH14	0.1
colon	RSPH14	0.4
lung	RSPH14	1.9
pancreas	RSPH14	0
rectum	RSPH14	0.3
skin	RSPH14	1.2
bone marrow	XBP1	154.6
colon	XBP1	200.7
lung	XBP1	224.7
pancreas	XBP1	209.1
rectum	XBP1	215.9
skin	XBP1	45.7
bone marrow	RTCB	19.6
colon	RTCB	55.9
lung	RTCB	53.7
pancreas	RTCB	8.8
rectum	RTCB	80.9
skin	RTCB	62.4
bone marrow	JOSD1	56.4
colon	JOSD1	40.2
lung	JOSD1	40.1
pancreas	JOSD1	5.4
rectum	JOSD1	42.2
skin	JOSD1	18.5
bone marrow	FBXO7	168.3
colon	FBXO7	48.5
lung	FBXO7	90.2
pancreas	FBXO7	8.6
rectum	FBXO7	59.2
skin	FBXO7	56.6
bone marrow	GTPBP1	65
colon	GTPBP1	17.1
lung	GTPBP1	27.1
pancreas	GTPBP1	3.8
rectum	GTPBP1	18.7
skin	GTPBP1	22
bone marrow	POLDIP3	42.2
colon	POLDIP3	25.3
lung	POLDIP3	49
pancreas	POLDIP3	6.2
rectum	POLDIP3	31.3
skin	POLDIP3	44.7
bone marrow	RAB36	0.4
colon	RAB36	1.1
lung	RAB36	7.4
pancreas	RAB36	0.7
rectum	RAB36	1.2
skin	RAB36	1.4
bone marrow	TIMP3	0.7
colon	TIMP3	88.8
lung	TIMP3	581.2
pancreas	TIMP3	16.8
rectum	TIMP3	90.4
skin	TIMP3	55.2
bone marrow	PPP6R2	13.6
colon	PPP6R2	15.8
lung	PPP6R2	27.4
pancreas	PPP6R2	5.2
rectum	PPP6R2	12.8
skin	PPP6R2	32.5
bone marrow	SBF1	13.2
colon	SBF1	10.9
lung	SBF1	15.3
pancreas	SBF1	5.3
rectum	SBF1	5.3
skin	SBF1	29.5
bone marrow	SUN2	102.3
colon	SUN2	42
lung	SUN2	88.3
pancreas	SUN2	15.3
rectum	SUN2	27.6
skin	SUN2	49.5
bone marrow	CYB5R3	51
colon	CYB5R3	92.6
lung	CYB5R3	237
pancreas	CYB5R3	16.8
rectum	CYB5R3	82.2
skin	CYB5R3	186.1
bone marrow	DNAL4	2.8
colon	DNAL4	10.5
lung	DNAL4	19.9
pancreas	DNAL4	3.2
rectum	DNAL4	10.1
skin	DNAL4	14.1
bone marrow	C22orf31	0
colon	C22orf31	0.3
lung	C22orf31	0.3
pancreas	C22orf31	0
rectum	C22orf31	0.3
skin	C22orf31	0.5
bone marrow	MIOX	0.1
colon	MIOX	0.9
lung	MIOX	0.1
pancreas	MIOX	0
rectum	MIOX	0.1
skin	MIOX	0.4
bone marrow	LMF2	21.2
colon	LMF2	12.1
lung	LMF2	24.1
pancreas	LMF2	38.1
rectum	LMF2	6.2
skin	LMF2	29.2
bone marrow	RHBDD3	1.8
colon	RHBDD3	2.2
lung	RHBDD3	2.4
pancreas	RHBDD3	1.1
rectum	RHBDD3	0.6
skin	RHBDD3	2.9
bone marrow	PACSIN2	18.7
colon	PACSIN2	51.6
lung	PACSIN2	61
pancreas	PACSIN2	22.7
rectum	PACSIN2	45.3
skin	PACSIN2	28.7
bone marrow	TTLL1	1.5
colon	TTLL1	3
lung	TTLL1	5.9
pancreas	TTLL1	0.6
rectum	TTLL1	3.6
skin	TTLL1	5.1
bone marrow	RASL10A	0
colon	RASL10A	0.1
lung	RASL10A	0.2
pancreas	RASL10A	0
rectum	RASL10A	0
skin	RASL10A	0.1
bone marrow	AP1B1	31
colon	AP1B1	34
lung	AP1B1	45.1
pancreas	AP1B1	7.5
rectum	AP1B1	32.9
skin	AP1B1	37.5
bone marrow	HMGXB4	14.1
colon	HMGXB4	6.7
lung	HMGXB4	8.5
pancreas	HMGXB4	1.5
rectum	HMGXB4	8.7
skin	HMGXB4	7.8
bone marrow	TOM1	36.4
colon	TOM1	16.1
lung	TOM1	32
pancreas	TOM1	3.9
rectum	TOM1	10.5
skin	TOM1	35.2
bone marrow	NEFH	0.4
colon	NEFH	0.5
lung	NEFH	0.6
pancreas	NEFH	0
rectum	NEFH	0.6
skin	NEFH	0.2
bone marrow	CHKB	4.1
colon	CHKB	3.5
lung	CHKB	4.2
pancreas	CHKB	0.6
rectum	CHKB	2.5
skin	CHKB	3.6
bone marrow	BIK	2.6
colon	BIK	7.8
lung	BIK	1.2
pancreas	BIK	0.1
rectum	BIK	5.7
skin	BIK	1.6
bone marrow	HMOX1	47.5
colon	HMOX1	25.8
lung	HMOX1	63.1
pancreas	HMOX1	7.5
rectum	HMOX1	21.7
skin	HMOX1	35
bone marrow	MCAT	5.6
colon	MCAT	8.4
lung	MCAT	9
pancreas	MCAT	2.1
rectum	MCAT	7.9
skin	MCAT	9.8
bone marrow	THOC5	12
colon	THOC5	13.6
lung	THOC5	18.3
pancreas	THOC5	1.9
rectum	THOC5	15.4
skin	THOC5	12.2
bone marrow	MCM5	88.5
colon	MCM5	20.1
lung	MCM5	20.9
pancreas	MCM5	2.6
rectum	MCM5	18.6
skin	MCM5	21.4
bone marrow	APOBEC3H	2.4
colon	APOBEC3H	1.7
lung	APOBEC3H	3.7
pancreas	APOBEC3H	0
rectum	APOBEC3H	4
skin	APOBEC3H	0.6
bone marrow	ARSA	12.5
colon	ARSA	16.8
lung	ARSA	21.2
pancreas	ARSA	10.2
rectum	ARSA	9.3
skin	ARSA	13.4
bone marrow	TSPO	300.6
colon	TSPO	82.9
lung	TSPO	106.4
pancreas	TSPO	6.6
rectum	TSPO	35.6
skin	TSPO	186.1
bone marrow	RASD2	2.3
colon	RASD2	7.2
lung	RASD2	2
pancreas	RASD2	0.1
rectum	RASD2	4.4
skin	RASD2	0.4
bone marrow	TTLL12	16.6
colon	TTLL12	34.9
lung	TTLL12	11.5
pancreas	TTLL12	4
rectum	TTLL12	20.9
skin	TTLL12	31.8
bone marrow	CBX7	3.8
colon	CBX7	18.2
lung	CBX7	40.5
pancreas	CBX7	4.4
rectum	CBX7	15.7
skin	CBX7	26
bone marrow	PDGFB	0.2
colon	PDGFB	4.4
lung	PDGFB	28.6
pancreas	PDGFB	1.8
rectum	PDGFB	4
skin	PDGFB	9.5
bone marrow	ACR	0
colon	ACR	0.1
lung	ACR	0.4
pancreas	ACR	0
rectum	ACR	0
skin	ACR	0.3
bone marrow	CABP7	0.1
colon	CABP7	0
lung	CABP7	0.1
pancreas	CABP7	0.7
rectum	CABP7	0
skin	CABP7	0.3
bone marrow	RPL3	1766.3
colon	RPL3	1438.9
lung	RPL3	1384.8
pancreas	RPL3	889.3
rectum	RPL3	1381.8
skin	RPL3	3139.6
bone marrow	ZMAT5	9.8
colon	ZMAT5	9.7
lung	ZMAT5	21.3
pancreas	ZMAT5	3.4
rectum	ZMAT5	8.5
skin	ZMAT5	13.3
bone marrow	RBFOX2	0.1
colon	RBFOX2	22.6
lung	RBFOX2	32.9
pancreas	RBFOX2	3.3
rectum	RBFOX2	25.1
skin	RBFOX2	26
bone marrow	SYNGR1	57.3
colon	SYNGR1	5.8
lung	SYNGR1	8.9
pancreas	SYNGR1	5.9
rectum	SYNGR1	4.8
skin	SYNGR1	61.3
bone marrow	TAB1	6.1
colon	TAB1	7.5
lung	TAB1	12.7
pancreas	TAB1	2.2
rectum	TAB1	5.9
skin	TAB1	12.9
bone marrow	ASCC2	33.3
colon	ASCC2	24.1
lung	ASCC2	29.6
pancreas	ASCC2	4.8
rectum	ASCC2	27
skin	ASCC2	34.2
bone marrow	MTMR3	52.3
colon	MTMR3	11.7
lung	MTMR3	19.9
pancreas	MTMR3	3.4
rectum	MTMR3	14
skin	MTMR3	24.8
bone marrow	MIEF1	8.1
colon	MIEF1	9.5
lung	MIEF1	11.2
pancreas	MIEF1	1.8
rectum	MIEF1	10.4
skin	MIEF1	9.5
bone marrow	APOL4	0.9
colon	APOL4	3.5
lung	APOL4	19.8
pancreas	APOL4	0.3
rectum	APOL4	4.3
skin	APOL4	2.5
bone marrow	PNPLA5	0.2
colon	PNPLA5	0
lung	PNPLA5	0.1
pancreas	PNPLA5	0
rectum	PNPLA5	0
skin	PNPLA5	0.7
bone marrow	APOL1	2.6
colon	APOL1	27.1
lung	APOL1	88
pancreas	APOL1	2
rectum	APOL1	30.5
skin	APOL1	7.7
bone marrow	PNPLA3	0
colon	PNPLA3	0.1
lung	PNPLA3	1.2
pancreas	PNPLA3	0
rectum	PNPLA3	0.1
skin	PNPLA3	4
bone marrow	MYH9	158
colon	MYH9	132
lung	MYH9	264.2
pancreas	MYH9	30.5
rectum	MYH9	98.5
skin	MYH9	126.8
bone marrow	CACNA1I	0.4
colon	CACNA1I	0.1
lung	CACNA1I	0.1
pancreas	CACNA1I	0
rectum	CACNA1I	0
skin	CACNA1I	0
bone marrow	SAMM50	19.4
colon	SAMM50	34.7
lung	SAMM50	32.5
pancreas	SAMM50	5.4
rectum	SAMM50	38.3
skin	SAMM50	41.3
bone marrow	TXN2	37.7
colon	TXN2	57
lung	TXN2	53
pancreas	TXN2	9.9
rectum	TXN2	61.4
skin	TXN2	52
bone marrow	FOXRED2	2.3
colon	FOXRED2	4.1
lung	FOXRED2	5.7
pancreas	FOXRED2	0.7
rectum	FOXRED2	4.6
skin	FOXRED2	8.9
bone marrow	GRAP2	6.4
colon	GRAP2	2.2
lung	GRAP2	6.2
pancreas	GRAP2	0
rectum	GRAP2	2.6
skin	GRAP2	1.3
bone marrow	EIF3D	108.8
colon	EIF3D	117.3
lung	EIF3D	133.2
pancreas	EIF3D	31.1
rectum	EIF3D	149
skin	EIF3D	146.8
bone marrow	TNRC6B	12.6
colon	TNRC6B	3.9
lung	TNRC6B	4.5
pancreas	TNRC6B	0.8
rectum	TNRC6B	3.9
skin	TNRC6B	5.1
bone marrow	SGSM3	12.5
colon	SGSM3	32.9
lung	SGSM3	29.2
pancreas	SGSM3	13.9
rectum	SGSM3	26.5
skin	SGSM3	32.2
bone marrow	IFT27	5.4
colon	IFT27	10.6
lung	IFT27	13.5
pancreas	IFT27	3.3
rectum	IFT27	10.4
skin	IFT27	10.1
bone marrow	PVALB	0
colon	PVALB	0.2
lung	PVALB	1.8
pancreas	PVALB	0
rectum	PVALB	0.2
skin	PVALB	0
bone marrow	KIAA0930	15.9
colon	KIAA0930	17.5
lung	KIAA0930	28.3
pancreas	KIAA0930	2.6
rectum	KIAA0930	12.3
skin	KIAA0930	61.7
bone marrow	NCF4	119.9
colon	NCF4	12.5
lung	NCF4	26.9
pancreas	NCF4	0.2
rectum	NCF4	13.3
skin	NCF4	3.7
bone marrow	CSF2RB	34.5
colon	CSF2RB	9.6
lung	CSF2RB	22.4
pancreas	CSF2RB	0.4
rectum	CSF2RB	9.4
skin	CSF2RB	6.3
bone marrow	SLC25A17	1.9
colon	SLC25A17	6.1
lung	SLC25A17	9.8
pancreas	SLC25A17	1.5
rectum	SLC25A17	7.9
skin	SLC25A17	11
bone marrow	UPK3A	0.9
colon	UPK3A	1
lung	UPK3A	0.3
pancreas	UPK3A	0
rectum	UPK3A	0.8
skin	UPK3A	0
bone marrow	FAM118A	12.9
colon	FAM118A	14.1
lung	FAM118A	11.1
pancreas	FAM118A	1
rectum	FAM118A	12.2
skin	FAM118A	43.9
bone marrow	KCTD17	1.5
colon	KCTD17	7.9
lung	KCTD17	10
pancreas	KCTD17	0.5
rectum	KCTD17	5.7
skin	KCTD17	19.6
bone marrow	ST13	60.4
colon	ST13	116.2
lung	ST13	141.2
pancreas	ST13	25.9
rectum	ST13	116.9
skin	ST13	98.5
bone marrow	IL2RB	20.8
colon	IL2RB	5.2
lung	IL2RB	18.1
pancreas	IL2RB	0.1
rectum	IL2RB	5.6
skin	IL2RB	10.6
bone marrow	RBX1	38.6
colon	RBX1	31.6
lung	RBX1	49.7
pancreas	RBX1	3.9
rectum	RBX1	35.7
skin	RBX1	36.5
bone marrow	EP300	38.3
colon	EP300	13.2
lung	EP300	20.3
pancreas	EP300	3.5
rectum	EP300	14.9
skin	EP300	19.8
bone marrow	L3MBTL2	6.5
colon	L3MBTL2	9.5
lung	L3MBTL2	16.9
pancreas	L3MBTL2	1.9
rectum	L3MBTL2	10.8
skin	L3MBTL2	15.1
bone marrow	CHADL	0.6
colon	CHADL	1.3
lung	CHADL	3.3
pancreas	CHADL	0.7
rectum	CHADL	0.3
skin	CHADL	6.7
bone marrow	RANGAP1	34.2
colon	RANGAP1	18.9
lung	RANGAP1	26
pancreas	RANGAP1	6.9
rectum	RANGAP1	16.1
skin	RANGAP1	102.2
bone marrow	ZC3H7B	10.1
colon	ZC3H7B	16.7
lung	ZC3H7B	35.5
pancreas	ZC3H7B	6.5
rectum	ZC3H7B	14.5
skin	ZC3H7B	23.6
bone marrow	PHF5A	35.3
colon	PHF5A	24.3
lung	PHF5A	28.9
pancreas	PHF5A	5.1
rectum	PHF5A	31.2
skin	PHF5A	24.5
bone marrow	ACO2	25.4
colon	ACO2	93.5
lung	ACO2	53.8
pancreas	ACO2	10.8
rectum	ACO2	78.6
skin	ACO2	41.9
bone marrow	POLR3H	3.2
colon	POLR3H	6.1
lung	POLR3H	16.9
pancreas	POLR3H	2.3
rectum	POLR3H	5.8
skin	POLR3H	14.3
bone marrow	TRMU	2.7
colon	TRMU	4.2
lung	TRMU	5.1
pancreas	TRMU	1.6
rectum	TRMU	6.2
skin	TRMU	7.2
bone marrow	PMM1	15
colon	PMM1	22.3
lung	PMM1	37
pancreas	PMM1	8.7
rectum	PMM1	19.9
skin	PMM1	19.7
bone marrow	DESI1	4.7
colon	DESI1	9.3
lung	DESI1	16.4
pancreas	DESI1	1.8
rectum	DESI1	11.6
skin	DESI1	14.9
bone marrow	CERK	13.2
colon	CERK	17
lung	CERK	18.7
pancreas	CERK	6.1
rectum	CERK	16.3
skin	CERK	17.8
bone marrow	BRD1	9.5
colon	BRD1	7.9
lung	BRD1	12.3
pancreas	BRD1	2.7
rectum	BRD1	6.4
skin	BRD1	14
bone marrow	ZBED4	6.8
colon	ZBED4	5.6
lung	ZBED4	5.7
pancreas	ZBED4	1.1
rectum	ZBED4	5.3
skin	ZBED4	6
bone marrow	MLC1	23
colon	MLC1	0.1
lung	MLC1	1.6
pancreas	MLC1	0
rectum	MLC1	0
skin	MLC1	1.1
bone marrow	HDAC10	5.8
colon	HDAC10	3.8
lung	HDAC10	5.6
pancreas	HDAC10	1.5
rectum	HDAC10	1.5
skin	HDAC10	6.7
bone marrow	KCNK10	0.2
colon	KCNK10	1.3
lung	KCNK10	0.2
pancreas	KCNK10	0.3
rectum	KCNK10	0.8
skin	KCNK10	0
bone marrow	ABHD4	8
colon	ABHD4	11.8
lung	ABHD4	19.6
pancreas	ABHD4	2.3
rectum	ABHD4	15
skin	ABHD4	14.2
bone marrow	KHNYN	25.1
colon	KHNYN	26.8
lung	KHNYN	38.2
pancreas	KHNYN	4.6
rectum	KHNYN	28.2
skin	KHNYN	31.6
bone marrow	FKBP3	22.8
colon	FKBP3	46.9
lung	FKBP3	37.9
pancreas	FKBP3	6
rectum	FKBP3	51.9
skin	FKBP3	43.3
bone marrow	SDR39U1	18
colon	SDR39U1	14.7
lung	SDR39U1	18.1
pancreas	SDR39U1	5.4
rectum	SDR39U1	10.2
skin	SDR39U1	22.2
bone marrow	CTSG	3457
colon	CTSG	24.5
lung	CTSG	12.5
pancreas	CTSG	0.7
rectum	CTSG	30.5
skin	CTSG	17.6
bone marrow	GZMH	20.5
colon	GZMH	2.8
lung	GZMH	24.6
pancreas	GZMH	0.1
rectum	GZMH	2.8
skin	GZMH	0.8
bone marrow	GZMB	36.2
colon	GZMB	2.2
lung	GZMB	21
pancreas	GZMB	0.2
rectum	GZMB	2.4
skin	GZMB	0.2
bone marrow	RBM23	35.3
colon	RBM23	38.2
lung	RBM23	63.9
pancreas	RBM23	8.3
rectum	RBM23	46.3
skin	RBM23	45
bone marrow	PRMT5	13.8
colon	PRMT5	39.3
lung	PRMT5	28.9
pancreas	PRMT5	5.4
rectum	PRMT5	37.7
skin	PRMT5	40
bone marrow	COCH	2.3
colon	COCH	1.4
lung	COCH	0.9
pancreas	COCH	94.8
rectum	COCH	2.2
skin	COCH	3.1
bone marrow	AP4S1	3.8
colon	AP4S1	4.7
lung	AP4S1	8.1
pancreas	AP4S1	1.8
rectum	AP4S1	4.6
skin	AP4S1	5.6
bone marrow	POLE2	10.7
colon	POLE2	3.6
lung	POLE2	1.7
pancreas	POLE2	0.1
rectum	POLE2	4.7
skin	POLE2	3.8
bone marrow	VCPKMT	3.3
colon	VCPKMT	1.9
lung	VCPKMT	2.2
pancreas	VCPKMT	0.2
rectum	VCPKMT	2
skin	VCPKMT	3.5
bone marrow	SOS2	25.3
colon	SOS2	17.3
lung	SOS2	23.7
pancreas	SOS2	3.3
rectum	SOS2	19
skin	SOS2	21.3
bone marrow	CDKL1	1.1
colon	CDKL1	6.7
lung	CDKL1	9.1
pancreas	CDKL1	0.1
rectum	CDKL1	8.4
skin	CDKL1	1.7
bone marrow	NIN	31.4
colon	NIN	7.6
lung	NIN	14.9
pancreas	NIN	1.2
rectum	NIN	9.8
skin	NIN	15.9
bone marrow	PYGL	69.7
colon	PYGL	18.5
lung	PYGL	27.1
pancreas	PYGL	1.1
rectum	PYGL	26
skin	PYGL	43.6
bone marrow	TRIM9	0.6
colon	TRIM9	1
lung	TRIM9	0.3
pancreas	TRIM9	0.1
rectum	TRIM9	1
skin	TRIM9	0.3
bone marrow	PSMC6	28.6
colon	PSMC6	52.1
lung	PSMC6	59.3
pancreas	PSMC6	9.2
rectum	PSMC6	60.2
skin	PSMC6	54
bone marrow	GNPNAT1	2.5
colon	GNPNAT1	18.1
lung	GNPNAT1	8.9
pancreas	GNPNAT1	5.4
rectum	GNPNAT1	23.9
skin	GNPNAT1	8.1
bone marrow	DDHD1	4.7
colon	DDHD1	3.3
