tissue	gene	HPA_expr
rectum	ICA1	25.3
skin	ICA1	13.4
bone marrow	DBNDD1	0.2
colon	DBNDD1	1.5
lung	DBNDD1	3.8
pancreas	DBNDD1	2.9
rectum	DBNDD1	1.4
skin	DBNDD1	4.2
bone marrow	ALS2	5.9
colon	ALS2	4.9
lung	ALS2	12.3
pancreas	ALS2	1
rectum	ALS2	6.7
skin	ALS2	8.6
bone marrow	CASP10	12.7
colon	CASP10	13.2
lung	CASP10	15.9
pancreas	CASP10	0.6
rectum	CASP10	14.7
skin	CASP10	6.7
bone marrow	CFLAR	159.9
colon	CFLAR	53.5
lung	CFLAR	136.6
pancreas	CFLAR	8.6
rectum	CFLAR	62.7
skin	CFLAR	44.7
bone marrow	TFPI	5
colon	TFPI	20.8
lung	TFPI	149.1
pancreas	TFPI	2.4
rectum	TFPI	28.8
skin	TFPI	12.2
bone marrow	NDUFAF7	3.9
colon	NDUFAF7	5.7
lung	NDUFAF7	7.2
pancreas	NDUFAF7	1.1
rectum	NDUFAF7	6.5
skin	NDUFAF7	4.5
bone marrow	RBM5	40.3
colon	RBM5	43.2
lung	RBM5	63.6
pancreas	RBM5	9.6
rectum	RBM5	52.4
skin	RBM5	95.9
bone marrow	MTMR7	1.1
colon	MTMR7	0.3
lung	MTMR7	0.6
pancreas	MTMR7	0.2
rectum	MTMR7	0.3
skin	MTMR7	1.3
bone marrow	SLC7A2	0.1
colon	SLC7A2	3.8
lung	SLC7A2	10.8
pancreas	SLC7A2	17.6
rectum	SLC7A2	4.7
skin	SLC7A2	5.4
bone marrow	ARF5	80.4
colon	ARF5	72.7
lung	ARF5	85.7
pancreas	ARF5	30.8
rectum	ARF5	56.6
skin	ARF5	176.2
bone marrow	SARM1	0.8
colon	SARM1	2
lung	SARM1	3
pancreas	SARM1	0.6
rectum	SARM1	2.4
skin	SARM1	2.7
bone marrow	POLDIP2	29.4
colon	POLDIP2	54.3
lung	POLDIP2	48.8
pancreas	POLDIP2	16.3
rectum	POLDIP2	63.4
skin	POLDIP2	54.1
bone marrow	PLXND1	16.2
colon	PLXND1	19.3
lung	PLXND1	101.2
pancreas	PLXND1	2.5
rectum	PLXND1	18.7
skin	PLXND1	22.9
bone marrow	AK2	46.9
colon	AK2	109.1
lung	AK2	80.5
pancreas	AK2	13.1
rectum	AK2	117.7
skin	AK2	68.3
bone marrow	CD38	8.9
colon	CD38	4.3
lung	CD38	9.4
pancreas	CD38	0
rectum	CD38	3.9
skin	CD38	0.3
bone marrow	FKBP4	14.9
colon	FKBP4	34.9
lung	FKBP4	24
pancreas	FKBP4	9.7
rectum	FKBP4	41.6
skin	FKBP4	46.7
bone marrow	KDM1A	35
colon	KDM1A	30.4
lung	KDM1A	35.6
pancreas	KDM1A	5.4
rectum	KDM1A	40.3
skin	KDM1A	48.8
bone marrow	RBM6	28.8
colon	RBM6	31.6
lung	RBM6	52.8
pancreas	RBM6	4.9
rectum	RBM6	41.8
skin	RBM6	56.5
bone marrow	CAMKK1	2.6
colon	CAMKK1	2.9
lung	CAMKK1	5.7
pancreas	CAMKK1	1.5
rectum	CAMKK1	3
skin	CAMKK1	9.3
bone marrow	RECQL	12.5
colon	RECQL	15.7
lung	RECQL	35.7
pancreas	RECQL	2.2
rectum	RECQL	21.3
skin	RECQL	23.4
bone marrow	VPS50	3.4
colon	VPS50	11
lung	VPS50	13.6
pancreas	VPS50	1.6
rectum	VPS50	13.6
skin	VPS50	13.9
bone marrow	HSPB6	0.3
colon	HSPB6	72
lung	HSPB6	48
pancreas	HSPB6	6.1
rectum	HSPB6	50
skin	HSPB6	3.6
bone marrow	ARHGAP33	13.2
colon	ARHGAP33	2
lung	ARHGAP33	3.9
pancreas	ARHGAP33	0.9
rectum	ARHGAP33	1.5
skin	ARHGAP33	9.7
bone marrow	NDUFAB1	33.2
colon	NDUFAB1	96
lung	NDUFAB1	48.9
pancreas	NDUFAB1	11.2
rectum	NDUFAB1	86.5
skin	NDUFAB1	42.9
bone marrow	PDK4	1.4
colon	PDK4	83.1
lung	PDK4	60.3
pancreas	PDK4	117.6
rectum	PDK4	48
skin	PDK4	3.5
bone marrow	SLC22A16	12.9
colon	SLC22A16	0
lung	SLC22A16	0.2
pancreas	SLC22A16	0
rectum	SLC22A16	0
skin	SLC22A16	0
bone marrow	ZMYND10	0.4
colon	ZMYND10	0.1
lung	ZMYND10	15.8
pancreas	ZMYND10	0.1
rectum	ZMYND10	0.1
skin	ZMYND10	0.6
bone marrow	ABCB5	0.2
colon	ABCB5	1.3
lung	ABCB5	0.2
pancreas	ABCB5	0
rectum	ABCB5	0.6
skin	ABCB5	0.1
bone marrow	ARX	0
colon	ARX	0.9
lung	ARX	0.6
pancreas	ARX	0.3
rectum	ARX	0.9
skin	ARX	0
bone marrow	SLC25A13	5
colon	SLC25A13	16.1
lung	SLC25A13	9.9
pancreas	SLC25A13	2
rectum	SLC25A13	19.7
skin	SLC25A13	14.1
bone marrow	ST7	11.4
colon	ST7	10.5
lung	ST7	39.3
pancreas	ST7	7
rectum	ST7	14
skin	ST7	13.4
bone marrow	CDC27	17.1
colon	CDC27	15
lung	CDC27	26.9
pancreas	CDC27	3
rectum	CDC27	19.6
skin	CDC27	14.4
bone marrow	SLC4A1	238
colon	SLC4A1	0.3
lung	SLC4A1	0.7
pancreas	SLC4A1	0.1
rectum	SLC4A1	0.3
skin	SLC4A1	1.1
bone marrow	CALCR	0
colon	CALCR	0.1
lung	CALCR	0.4
pancreas	CALCR	0
rectum	CALCR	0.1
skin	CALCR	0
bone marrow	HCCS	13.8
colon	HCCS	24.9
lung	HCCS	17.9
pancreas	HCCS	2.6
rectum	HCCS	25.9
skin	HCCS	14.3
bone marrow	DVL2	9.3
colon	DVL2	11.6
lung	DVL2	18.6
pancreas	DVL2	2.7
rectum	DVL2	9.3
skin	DVL2	21.8
bone marrow	PRSS22	0
colon	PRSS22	1.1
lung	PRSS22	2.2
pancreas	PRSS22	0.6
rectum	PRSS22	0
skin	PRSS22	0.2
bone marrow	UPF1	16.5
colon	UPF1	18.4
lung	UPF1	22.6
pancreas	UPF1	8.8
rectum	UPF1	11.6
skin	UPF1	25.8
bone marrow	SKAP2	13.4
colon	SKAP2	22.1
lung	SKAP2	36.4
pancreas	SKAP2	1.2
rectum	SKAP2	23
skin	SKAP2	12.5
