tumor_sample_barcode	allele	sig_1	sig_4	sig_5	smoke	clock
TCGA-73-4670	A146P	0	0.3740053050397878	0.47745358090185674	0.3740053050397878	0.47745358090185674
TCGA-44-7672	G12A	0	0.7663043478260869	0	0.7663043478260869	0
TCGA-49-AARO	G12A	0	0.6797488226059655	0	0.6797488226059655	0
TCGA-67-4679	G12A	0	0.675	0.19166666666666668	0.675	0.19166666666666668
TCGA-97-7941	G12A	0.15833333333333333	0.6666666666666666	0	0.6666666666666666	0.15833333333333333
TCGA-86-8359	G12A	0	0.5763546798029556	0.1625615763546798	0.5763546798029556	0.1625615763546798
TCGA-91-6836	G12A	0	0.5378486055776892	0.350597609561753	0.5378486055776892	0.350597609561753
TCGA-55-8514	G12A	0	0.5306748466257668	0.3773006134969325	0.5306748466257668	0.3773006134969325
LUAD-RT-S01777	G12A	0	0.4949348769898697	0.38494934876989867	0.4949348769898697	0.38494934876989867
TCGA-NJ-A55R	G12A	0	0.4882154882154882	0.2828282828282828	0.4882154882154882	0.2828282828282828
TCGA-50-5941	G12A	0	0.48448687350835323	0.3007159904534606	0.48448687350835323	0.3007159904534606
TCGA-53-7813	G12A	0	0.4540229885057471	0.3505747126436782	0.4540229885057471	0.3505747126436782
TCGA-69-7980	G12A	0	0.43398392652123996	0.1997703788748565	0.43398392652123996	0.1997703788748565
TCGA-80-5608	G12A	0	0.392	0	0.392	0
TCGA-73-4677	G12A	0	0.3776223776223776	0.2937062937062937	0.3776223776223776	0.2937062937062937
TCGA-62-A46R	G12A	0.08695652173913043	0.3260869565217391	0.42934782608695654	0.3260869565217391	0.5163043478260869
TCGA-83-5908	G12A	0	0.28782287822878233	0.16236162361623616	0.28782287822878233	0.16236162361623616
LUAD-RT-S01866	G12A	0.06299212598425197	0.2677165354330709	0.5354330708661418	0.2677165354330709	0.5984251968503937
TCGA-55-6984	G12A	0	0	0	0	0
TCGA-17-Z037	G12A	0.5548780487804879	0	0	0	0.5548780487804879
TCGA-50-5932	G12C	0	1	0	1	0
TCGA-NJ-A55O	G12C	0	0.8589743589743589	0	0.8589743589743589	0
TCGA-17-Z036	G12C	0	0.6785714285714286	0	0.6785714285714286	0
TCGA-55-1595	G12C	0	0.6763925729442971	0.32360742705570295	0.6763925729442971	0.32360742705570295
TCGA-99-8028	G12C	0	0.6659919028340081	0	0.6659919028340081	0
TCGA-55-A490	G12C	0	0.6578749058025621	0	0.6578749058025621	0
TCGA-55-8302	G12C	0	0.6418300653594772	0.2274509803921569	0.6418300653594772	0.2274509803921569
TCGA-17-Z042	G12C	0	0.6397748592870545	0.0975609756097561	0.6397748592870545	0.0975609756097561
LUAD_E00703	G12C	0.32	0.62	0	0.62	0.32
TCGA-78-7166	G12C	0	0.6171171171171171	0.3153153153153153	0.6171171171171171	0.3153153153153153
TCGA-64-5778	G12C	0	0.6126629422718809	0.11359404096834264	0.6126629422718809	0.11359404096834264
TCGA-64-5774	G12C	0.08053691275167786	0.6040268456375838	0.31543624161073824	0.6040268456375838	0.3959731543624161
TCGA-95-7562	G12C	0	0.6038186157517901	0	0.6038186157517901	0
TCGA-05-4415	G12C	0	0.5918367346938775	0.23265306122448975	0.5918367346938775	0.23265306122448975
TCGA-MP-A4TF	G12C	0	0.5657620041753653	0.2567849686847599	0.5657620041753653	0.2567849686847599
LUAD-RT-S01703	G12C	0	0.5631578947368421	0	0.5631578947368421	0
LUAD-S01331	G12C	0	0.5476190476190477	0.4523809523809524	0.5476190476190477	0.4523809523809524
TCGA-55-8508	G12C	0.06763285024154589	0.5458937198067633	0.30917874396135264	0.5458937198067633	0.37681159420289856
TCGA-93-7347	G12C	0	0.5378787878787878	0.3863636363636364	0.5378787878787878	0.3863636363636364
TCGA-55-8616	G12C	0	0.5364963503649636	0.14233576642335766	0.5364963503649636	0.14233576642335766
TCGA-55-7907	G12C	0	0.5312989045383412	0.09154929577464789	0.5312989045383412	0.09154929577464789
TCGA-05-4417	G12C	0	0.5269461077844311	0.10179640718562874	0.5269461077844311	0.10179640718562874
TCGA-55-7281	G12C	0	0.5234899328859061	0.47651006711409394	0.5234899328859061	0.47651006711409394
TCGA-44-6144	G12C	0	0.5061224489795918	0.4938775510204082	0.5061224489795918	0.4938775510204082
TCGA-55-8299	G12C	0	0.5059288537549407	0.22529644268774704	0.5059288537549407	0.22529644268774704
TCGA-55-8203	G12C	0	0.5051975051975052	0.15384615384615385	0.5051975051975052	0.15384615384615385
TCGA-99-8032	G12C	0	0.4952380952380952	0.30238095238095236	0.4952380952380952	0.30238095238095236
TCGA-73-4662	G12C	0	0.49159663865546216	0.32352941176470584	0.49159663865546216	0.32352941176470584
LUAD-LIP77	G12C	0	0.4893238434163701	0	0.4893238434163701	0
TCGA-MN-A4N5	G12C	0	0.4839400428265524	0.24839400428265523	0.4839400428265524	0.24839400428265523
LUAD-S01413	G12C	0	0.48021108179419525	0.2453825857519789	0.48021108179419525	0.2453825857519789
TCGA-97-A4M0	G12C	0	0.4789356984478936	0.164079822616408	0.4789356984478936	0.164079822616408
LO5004	G12C	0	0.4777777777777778	0.5222222222222223	0.4777777777777778	0.5222222222222223
TCGA-49-4505	G12C	0.07407407407407407	0.4740740740740741	0	0.4740740740740741	0.07407407407407407
TCGA-17-Z022	G12C	0	0.47144948755490484	0	0.47144948755490484	0
TCGA-NJ-A4YI	G12C	0	0.46405228758169936	0.3376906318082789	0.46405228758169936	0.3376906318082789
LUAD-S00488	G12C	0.08817635270541083	0.46092184368737477	0.38677354709418843	0.46092184368737477	0.47494989979959923
