cancer	hugo_symbol	gene_cls	wt_ach_000015	wt_ach_000021	wt_ach_000143	g12v_ach_000251	wt_ach_000261	g12c_ach_000311	wt_ach_000337	wt_ach_000390	wt_ach_000395	wt_ach_000416	wt_ach_000434	g12c_ach_000444	wt_ach_000448	wt_ach_000454	wt_ach_000481	g12c_ach_000496	g12c_ach_000511	g12c_ach_000521	wt_ach_000528	wt_ach_000585	wt_ach_000589	g12v_ach_000596	wt_ach_000627	g12v_ach_000638	g12v_ach_000662	wt_ach_000665	g12c_ach_000677	wt_ach_000700	wt_ach_000706	wt_ach_000747	wt_ach_000766	wt_ach_000769	wt_ach_000781	wt_ach_000785	wt_ach_000787	wt_ach_000837	wt_ach_000840	wt_ach_000843	wt_ach_000853	wt_ach_000858	g12c_ach_000861	wt_ach_000867	wt_ach_000869	wt_ach_000888	g12c_ach_000900	wt_ach_000901	wt_ach_000929	wt_ach_000975	wt_ach_001075
LUAD	AOAH	1	0.320561098228	0.316289443653	0.214730801337	0.624048207273	0.329978838298	0.278265792241	0.371591890023	0.297681180405	0.379173473864	0.227880605949	0.351200586869	0.306179926272	0.129701252014	0.427431167245	0.259406754477	0.247437468253	0.220267348781	0.27868915249	0.194812993174	0.275571438521	0.358558705501	0.522776506098	0.335794999405	0.262534953459	0.520302568087	0.334862820335	0.412102503728	0.604740327499	0.182742514267	0.209435426266	0.239408301614	0.370092101492	0.271939514187	0.253670587204	0.419169228501	0.395870886786	0.478429537905	0.278281068244	0.313622850225	0.306061558031	0.306584214307	0.297170302599	0.280133328468	0.265005361774	0.214320906412	0.238536251376	0.174308895507	0.231406746699	0.205517203896
LUAD	ARHGAP19	1	-0.0532160750712	0.00697749227356	0.0597856062122	0.0201336347661	-0.0763039950588	-0.126868087779	-0.0477054193805	-0.0393047369297	-0.0336665811821	0.0198583156926	0.0369398106694	-0.23850151677	-0.0958243302637	-0.155015569251	0.0390410378245	-0.0847736868902	-0.200216863582	-0.0341626166097	-0.059288892723	-0.0609470375865	-0.0949216677458	0.0922332871727	-0.180219203553	-0.15597767491	0.387765737203	-0.150806725695	-0.187873701302	0.0256607288887	-0.141443607164	-0.348923652834	-0.0412297197201	0.00833181445419	-0.0297547634266	-0.0266251556289	-0.0300507496148	-0.080712229529000007	0.0133192555154	0.0472691723975	-0.0538557289487	-0.0073271086943	-0.117716695622	-0.039756793855	-0.116983883953	-0.1272042918	-0.150909230968	-0.176714358836	0.18859327091	0.00806889306684	0.0177162368565
LUAD	ATP8A1	1	-0.0036661902651	0.0177432784347	0.133086060616	0.259026080845	-0.011689420923	0.10232948866	0.0719354270702	0.0140798708052	0.0828281344238	0.070893738062	0.0623625734526	0.0517194218373	0.00313475186568	0.0302117251718	0.0708939898966	0.140240569623	0.0376020829785	0.148192006184	0.17127997676600001	-0.0392971618458	-0.0376272593382	0.292823514384	-0.064622839639	0.0922022810344	0.554776852169	0.177691945316	-0.0586633781347	-0.148506159992	0.0568521024886	0.0906480902953	0.0843447351634	0.208025976454	0.102344967148	-0.0721813184067	-0.0301043206609	-0.00380936284595	0.34268877762	-0.125500770202	0.0343009312871	0.0143505718006	0.0270253561986	0.066583888967	0.11850573893000001	-0.00174481506429	-0.0262306136118	0.0783317035156	0.136428068897	-0.062259518455	-0.073452160443
LUAD	BBS9	1	-0.154273913771	-0.316697671465	-0.205044011271	0.0865466197072	-0.203194807934	-0.42061340838	-0.320409688179	-0.368708642564	-0.29564572042	-0.338371570138	-0.206857569187	-0.257450473641	-0.460572804312	-0.0778008182228	-0.284216734168	-0.48401464579	-0.263918423417	-0.498528740369	-0.393315135807	-0.247995816704	-0.256589435327	0.0403763477424	-0.274729958845	-0.187150629916	-0.454839652077	-0.169811470654	-0.295996181714	-0.332660916558	-0.0497735980202	-0.29486323066	-0.332693981065	-0.30039406801	-0.367456254255	-0.517244966496	-0.187927341767	-0.322190087841	-0.254396559387	-0.317901705721	-0.213947719272	-0.0919277861477	-0.304133361223	-0.206724269816	-0.104389763167	-0.239973712584	-0.487753667713	-0.400529790454	-0.379466053594	-0.263675826669	-0.190730470807
LUAD	BNC2	1	0.0379168546394	0.109613543606	0.12527181273	0.350283552165	0.0335870445719	0.0333882091929	0.116267413575	0.125489032361	0.405200490807	0.00989803024158	0.0859367919653	-0.0734016245342	-0.0319548881109	0.138637011294	0.0995727529048	0.141481288519	0.0328688652098	-0.0814299441445	0.123204903912	0.137916898381	-0.00450094710437	0.3124504331	0.0226046488646	0.106870918501	0.265765268165	0.219143378719	-0.113875303481	0.16058155498999999	-0.0934303811817	0.12118315798	0.085213554073	0.08691008129	0.129838170772	0.0509701224971	-0.0256849052503	0.0873038575463	0.0591712691817	0.0829786987119	0.0488388777892	0.00657815783933	0.10460808687	-1.61709212526e-4	-0.0107308803517	-0.0349540638662	-0.0327057981624	0.161061305099	0.464123810828	0.116829450853	0.0181901616734
LUAD	C18orf32	1	-0.28822840105	-0.204664629836	-0.390040812934	-0.114832256107	-0.356358267554	-0.323825630515	-0.116305694272	-0.241292587325	-0.32506286833	-0.344945674403	-0.251874729175	-0.21982651252	-0.314250211997	-0.182050735244	-0.162573889517	-0.121113982404	-0.239482098117	-0.299873321276	-0.190334428753	-0.435157102353	-0.0322187992183	-0.125091073233	-0.189014994065	-0.122151934171	0.162352549449	-0.16856328808	-0.22882441305	-0.337821034699	-0.363481835167	0.0498217376842	-0.18856698128	-0.280146430598	-0.182631023681	-0.367665993559	-0.268069310531	-0.277016629174	-0.227079242813	-0.120311343275	-0.264124908975	-0.366877499238	-0.364516288323	-0.196135194957	-0.350105719706	-0.254775687385	-0.196567735701	-0.269966337008	-0.147309672474	-0.311509376888	-0.245180428012
LUAD	CASK	1	0.223596831377	0.143512345931	0.222501692729	0.3306755045	0.219779719951	-0.112440510309	0.188822636692	0.0861942691329	0.021071935904	0.159420790309	0.0967949333791	NA	0.161517007827	NA	0.190883035372	0.0925899518356	0.0994580967859	-0.0870777093569	0.0908336659941	-0.00137188148817	0.249047900151	0.194541304075	0.0835457935564	0.0920685799447	0.456179488373	0.219363647924	0.0510048899959	0.210630859613	0.0955573253565	0.291021042743	0.152788931059	0.181926546372	0.129759569248	0.240920326101	0.279556216398	NA	0.173770626845	0.357392262556	0.277069411674	0.0359002934737	0.106874009327	0.150243145168	0.272653697975	0.182749089587	0.0315726608055	NA	0.278912055114	0.310857426189	0.0989664246158
LUAD	CBLL2	1	0.054629876405	-0.170454230946	-0.0247942450387	0.0802219417374	-0.0239611530109	-0.225922342404	-0.146680302667	0.0211851046306	0.0483163959191	-0.0500054641535	0.0685158484483	NA	0.00575158539088	NA	0.143313838814	-0.195627145925	-0.0663541653152	-0.0429793474011	0.0776923290527	-0.113025872743	0.0508522854489	0.180298084986	0.054783151498	0.0275532590829	0.479500803014	0.0831264010379	-0.00699705333645	-0.00635486229505	8.3132470774e-4	-0.169653053444	0.0578935725579	0.113891717568	0.0331443225791	0.0230712682894	0.0729550477113	NA	-0.0136228766262	0.0451836228413	0.022737817791	-0.0129803494231	0.161501137459	-0.0501819369784	-0.00608386271196	-5.33311207618e-4	-0.150084767848	NA	0.167822811294	-0.030777518181	8.22744541069e-4
LUAD	CCDC126	1	0.0916055809819	0.101700629706	0.243685385012	0.381871958516	0.251824503246	-0.0786605944475	-0.0215868708573	0.150653710442	0.155765367036	0.124444745253	0.295266826836	0.284218400872	0.2421344558	-0.0546556340315	0.244705640204	0.00933800138236	0.129150281892	0.0543552742727	0.229825251048	0.0623223007829	0.0859540858592	0.194402870613	0.217686968296	0.393147984443	0.557864703627	0.226911822994	0.228200942528	0.125550929323	0.218524768501	0.0838793373808	0.201896905587	0.0190483364847	0.0208005716502	0.0622763607871	0.206807592254	0.102340533523	0.252003112233	0.273722425295	0.15041588806	0.331086420563	0.237658638283	0.192105770887	0.215004612663	0.105190659914	-0.0394090115113	-0.0384145155184	0.0840768099607	0.161896017733	0.0270339824054
LUAD	CD3D	1	-0.06681125158	-0.0540610552791	0.0682900074239	0.164413046989	0.0942986990795	-0.0444371914027	0.022023049072	-0.0104112187839	-0.24204102697	-0.135885463286	-0.169585874075	-0.0549349924084	0.0936331815857	-0.11253602617	-0.116282238987	-0.00783220784654	-0.114592976919	-0.145723807124	-0.0628563424151	-0.0930679687375	0.0054219887372	0.210512278625	-0.00511675192917	-0.0492302609569	0.0110754047812	0.0100930452259	-0.0514411133176	-0.100594328605	0.0581296531305	-0.138769548494	-0.0635211747101	0.0130773440708	-0.0132917002847	-0.0146722021015	-0.0400999761801	-0.0321447091683	-0.209688145468	-0.132015495588	-0.0224556508775	-0.0858416215674	-0.179205267105	-0.131616843883	-0.0166379589161	-0.11358586802	-0.0524144383994	-0.0623679747715	-0.0623798473799	5.26497821357e-4	-0.00136843257335
