cancer	hugo_symbol	p_val	t_am	t_bm_ge	num_samples_per_cancer	num_mut_per_cancer	num_samples_per_cancer_allele	num_mut_per_cancer_allele
LUAD	MUC17	5e-5	323	0	889	163	NA	0
LUAD	MUC4	5e-5	291	0	889	81	NA	0
LUAD	MUC5B	0.0019	272	19	889	92	NA	0
LUAD	MUC6	5e-5	268	0	889	52	NA	0
LUAD	MUC7	5e-5	255	0	889	33	NA	0
LUAD	MXRA5	0.006	274	60	889	114	NA	0
LUAD	MYH1	0.0024	274	24	889	104	NA	0
LUAD	MYH4	0.0051	263	51	889	75	NA	0
LUAD	MYH6	3e-4	265	3	889	59	NA	0
LUAD	MYH9	0.003	249	30	889	27	NA	0
LUAD	MYLK	0.0082	251	82	889	37	NA	0
LUAD	MYO18B	0.0043	266	43	889	80	NA	0
LUAD	MYO3A	5e-4	262	5	889	56	NA	0
LUAD	MYO7B	4e-4	264	4	889	60	NA	0
LUAD	MYT1L	5e-5	270	0	889	68	NA	0
LUAD	NAALAD2	0.0053	249	53	889	29	NA	0
LUAD	NAALADL2	0.0099	244	99	889	18	NA	0
LUAD	NAV2	0.0021	257	21	889	47	NA	0
LUAD	NAV3	0.0031	290	31	889	156	NA	0
LUAD	NBPF10	5e-5	272	0	889	48	NA	0
LUAD	NBPF12	0.0011	249	11	889	23	NA	0
LUAD	NCAM1	0.0068	251	68	889	37	NA	0
LUAD	NCAM2	0.0079	253	79	889	43	NA	0
LUAD	NCAN	3e-4	256	3	889	40	NA	0
LUAD	NCAPD3	0.003	249	30	889	27	NA	0
LUAD	NCOA1	0.0045	247	45	889	23	NA	0
LUAD	NCOA2	5e-5	258	0	889	34	NA	0
LUAD	NCOR1	0.0045	251	45	889	35	NA	0
LUAD	NEB	2e-4	283	2	889	107	NA	0
LUAD	NEK10	5e-5	251	0	889	23	NA	0
LUAD	NELL2	1e-4	258	1	889	36	NA	0
LUAD	NES	0.0072	254	72	889	46	NA	0
LUAD	NF1	5e-5	298	0	889	90	NA	0
LUAD	NFASC	0.002	256	20	889	44	NA	0
LUAD	NHS	0.0079	247	79	889	25	NA	0
