dep_map_id	hugo_symbol	entrez_id	gene_effect	cancer	kras_allele	kras_codon	kras_cn	is_deleted	is_mutated	rna_expression	rna_expression_std
ACH-000202	PAX6	5080	-0.150769580541	COAD	WT	WT	2	FALSE	FALSE	0.124328135002	-0.9301191562042302
ACH-000202	PRMT7	54496	-0.159830586512	COAD	WT	WT	2	FALSE	FALSE	6.38370429247	1.3709477789739906
ACH-000202	PSMB7	5695	-0.58863127401	COAD	WT	WT	2	FALSE	FALSE	8.22814527567	0.9978277817605342
ACH-000202	RNASE6	6039	-0.141385371612	COAD	WT	WT	2	FALSE	FALSE	0	-0.9522058070538775
ACH-000202	RPP25	54913	-0.0983792922449	COAD	WT	WT	2	FALSE	FALSE	4.66049513189	0.9428189768474023
ACH-000202	SERPING1	710	0.0530216293007	COAD	WT	WT	2	FALSE	FALSE	0.13750352375	-0.4077884278880333
ACH-000202	STARD9	57519	-0.253453145566	COAD	WT	WT	2	FALSE	FALSE	2.94110631095	2.4468608789413473
ACH-000202	THSD7A	221981	0.30445670191700003	COAD	WT	WT	2	FALSE	FALSE	0.0703893278914	-0.2042197483661479
ACH-000202	TMEM25	84866	0.449843143901	COAD	WT	WT	2	FALSE	FALSE	4.07210580048	1.4961321811177108
ACH-000202	TSPAN8	7103	0.00728825847862	COAD	WT	WT	2	FALSE	FALSE	2.97819562968	-1.3739319582675535
ACH-000286	ATP5PD	10476	-0.283755565498	COAD	G12D	12	2	FALSE	FALSE	7.57160097245	-2.259091664079388
ACH-000286	DCHS1	8642	-0.23165551585	COAD	G12D	12	2	FALSE	FALSE	0.238786859587	-0.36616052300122376
ACH-000286	FAF2	23197	-0.808829723006	COAD	G12D	12	2	FALSE	FALSE	4.28392177231	-0.9044071878487306
ACH-000286	GBA	2629	0.0377025987366	COAD	G12D	12	2	FALSE	FALSE	4.74577514949	-0.23882845812934536
ACH-000286	KNTC1	9735	-0.639247916689	COAD	G12D	12	2	FALSE	FALSE	4.39506279952	-0.907646351946574
ACH-000286	LIN7C	55327	-0.389026894603	COAD	G12D	12	2	FALSE	FALSE	2.62058641045	-1.5177450936519004
ACH-000286	MTRF1L	54516	-0.547722366686	COAD	G12D	12	2	FALSE	FALSE	4.01346225981	0.6706751769708872
ACH-000286	NECAP2	55707	-0.0994976834381	COAD	G12D	12	2	FALSE	FALSE	4.46008724012	-1.0430476971375366
ACH-000286	OCEL1	79629	0.0791747518414	COAD	G12D	12	2	FALSE	FALSE	3.48671437303	0.2038041387895807
ACH-000286	ORC4	5000	-0.40365324017	COAD	G12D	12	2	FALSE	FALSE	3.98732086593	-1.0431477010308985
ACH-000286	PAX6	5080	-0.173172498724	COAD	G12D	12	2	FALSE	FALSE	3.7782085764	2.222203507963933
ACH-000286	PRMT7	54496	-0.329361537982	COAD	G12D	12	2	FALSE	FALSE	5.26378561389	0.01811266893307778
ACH-000286	PSMB7	5695	-0.657452984115	COAD	G12D	12	2	FALSE	FALSE	7.90430344865	0.1694356238369217
ACH-000286	RNASE6	6039	0.104630028036	COAD	G12D	12	2	FALSE	FALSE	1.28688114779	0.0936546174681044
ACH-000286	RPP25	54913	0.149730968151	COAD	G12D	12	2	FALSE	FALSE	4.09929520434	0.37222982663510984
ACH-000286	SERPING1	710	-0.192924386611	COAD	G12D	12	2	FALSE	FALSE	0.389566811763	0.2898167820939211
ACH-000286	STARD9	57519	-0.0577471032252	COAD	G12D	12	2	FALSE	FALSE	0.432959407276	-0.5779816005548648
ACH-000286	THSD7A	221981	0.468243845428	COAD	G12D	12	2	FALSE	FALSE	0.18903382439	0.41024810931032246
ACH-000286	TMEM25	84866	0.370394183469	COAD	G12D	12	2	FALSE	FALSE	2.8052924556	0.7008696116753383
ACH-000286	TSPAN8	7103	-0.053679623611	COAD	G12D	12	2	FALSE	FALSE	7.43112147253	0.0957371458647411
ACH-000350	ATP5PD	10476	-0.0964645909888	COAD	G12D	12	2	FALSE	FALSE	8.37134104801	-0.6059838128787587
ACH-000350	DCHS1	8642	-0.176473260576	COAD	G12D	12	2	FALSE	FALSE	0.0840642647885	-0.7227737973819726
ACH-000350	FAF2	23197	-0.868289673798	COAD	G12D	12	2	FALSE	FALSE	4.6182386556	-0.1950975143785528
ACH-000350	GBA	2629	0.267924755404	COAD	G12D	12	2	FALSE	FALSE	6.17891378467	2.0404790380384754
ACH-000350	KNTC1	9735	-0.543343701306	COAD	G12D	12	2	FALSE	FALSE	5.81506301719	0.979160579172586
ACH-000350	LIN7C	55327	-0.238333763592	COAD	G12D	12	2	FALSE	FALSE	3.04264433741	-0.6791638522182614
ACH-000350	MTRF1L	54516	-0.634533845984	COAD	G12D	12	2	FALSE	FALSE	2.45943161864	-2.289049509519311
ACH-000350	NECAP2	55707	-0.219348649902	COAD	G12D	12	2	FALSE	FALSE	4.9107326619	0.7358132911222167
ACH-000350	OCEL1	79629	0.228195045004	COAD	G12D	12	2	FALSE	FALSE	4.40667271576	1.7836027073308256
ACH-000350	ORC4	5000	-0.415656712448	COAD	G12D	12	2	FALSE	FALSE	4.59514556799	-0.1190857427998753
ACH-000350	PAX6	5080	-0.155212310384	COAD	G12D	12	2	FALSE	FALSE	2.748461233	1.3338066539812676
ACH-000350	PRMT7	54496	-0.026709061287	COAD	G12D	12	2	FALSE	FALSE	6.02746372341	0.9406176499539168
ACH-000350	PSMB7	5695	-0.87428439628	COAD	G12D	12	2	FALSE	FALSE	7.11987488953	-1.8371441710151983
ACH-000350	RNASE6	6039	0.347589516096	COAD	G12D	12	2	FALSE	FALSE	0.432959407276	-0.6003356205396868
ACH-000350	RPP25	54913	0.263509125388	COAD	G12D	12	2	FALSE	FALSE	3.83187724119	0.1003377951956265
ACH-000350	STARD9	57519	0.008410743822	COAD	G12D	12	2	FALSE	FALSE	1.5210507369	0.7342640540345851
ACH-000350	THSD7A	221981	0.179956892232	COAD	G12D	12	2	FALSE	FALSE	0.0840642647885	-0.13339632690958575
ACH-000350	TMEM25	84866	0.133886227336	COAD	G12D	12	2	FALSE	FALSE	0.516015147004	-0.7362612505454331
ACH-000350	TSPAN8	7103	0.181857609328	COAD	G12D	12	2	FALSE	FALSE	1.13750352375	-1.9814445047990088
ACH-000381	ATP5PD	10476	-0.139181891729	COAD	G13D	13	2	FALSE	FALSE	8.28053880694	-0.7936771675156675
ACH-000381	DCHS1	8642	0.0250822515482	COAD	G13D	13	2	FALSE	FALSE	0.250961573533	-0.33809956260570867
ACH-000381	FAF2	23197	-0.729416643414	COAD	G13D	13	2	FALSE	FALSE	4.97315203788	0.5579111067171734
ACH-000381	GBA	2629	0.025049689303	COAD	G13D	13	2	FALSE	FALSE	5.47702965301	0.9241810585809985
ACH-000381	KNTC1	9735	-0.614879725347	COAD	G13D	13	2	FALSE	FALSE	5.92148393743	1.12056600110582
ACH-000381	LIN7C	55327	-0.447483764524	COAD	G13D	13	2	FALSE	FALSE	3.90977310414	1.0437226788435736
ACH-000381	MTRF1L	54516	-0.0677034850474	COAD	G13D	13	2	FALSE	FALSE	4.42088657498	1.4466340104319448
ACH-000381	NECAP2	55707	-0.24368655688	COAD	G13D	13	2	FALSE	FALSE	4.40599235968	-1.2565798175776035
ACH-000381	OCEL1	79629	0.162284653974	COAD	G13D	13	2	FALSE	FALSE	2.13422093976	-2.1187653631084773
ACH-000381	ORC4	5000	-0.579168968449	COAD	G13D	13	2	FALSE	FALSE	4.48928602263	-0.28002158244456227
ACH-000381	PAX6	5080	0.157562028606	COAD	G13D	13	2	FALSE	FALSE	2.46727948046	1.0912219209834815
ACH-000381	PRMT7	54496	-0.14861245605	COAD	G13D	13	2	FALSE	FALSE	5.19258872157	-0.06789148252765478
ACH-000381	PSMB7	5695	-0.94139249956	COAD	G13D	13	2	FALSE	FALSE	7.77636722957	-0.15782710678534712
ACH-000381	RNASE6	6039	0.181378110422	COAD	G13D	13	2	FALSE	FALSE	1.41683974191	0.1992731904420269
ACH-000381	RPP25	54913	0.372561600746	COAD	G13D	13	2	FALSE	FALSE	5.0241423459	1.3125502341639785
ACH-000381	SERPING1	710	-0.213332129815	COAD	G13D	13	2	FALSE	FALSE	0.0565835283664	-0.6317409551136707
ACH-000381	STARD9	57519	-0.170111099946	COAD	G13D	13	2	FALSE	FALSE	0.464668267003	-0.5397404968387632
ACH-000381	THSD7A	221981	0.202720477008	COAD	G13D	13	2	FALSE	FALSE	0.111031312389	0.006267833299768488
ACH-000381	TMEM25	84866	0.34306183300799997	COAD	G13D	13	2	FALSE	FALSE	0.310340120612	-0.8653770753981651
ACH-000381	TSPAN8	7103	-0.0303729522946	COAD	G13D	13	2	FALSE	FALSE	10.0211187864	0.9505546672686329
ACH-000403	ATP5PD	10476	-0.23922983154	COAD	G13D	13	2	FALSE	FALSE	9.03199060859	0.7596160974699955
ACH-000403	DCHS1	8642	0.00883112559523	COAD	G13D	13	2	FALSE	FALSE	0.226508529809	-0.3944603029510213
ACH-000403	FAF2	23197	-0.759944555459	COAD	G13D	13	2	FALSE	FALSE	5.77082904603	2.250317462679602
ACH-000403	GBA	2629	0.201482716872	COAD	G13D	13	2	FALSE	FALSE	6.01077983875	1.7730736706243195
ACH-000403	KNTC1	9735	-0.536014866848	COAD	G13D	13	2	FALSE	FALSE	6.00898878323	1.236836933678539
ACH-000403	LIN7C	55327	-0.402546914508	COAD	G13D	13	2	FALSE	FALSE	3.53605290024	0.30118301185374763
ACH-000403	MTRF1L	54516	-0.284045405104	COAD	G13D	13	2	FALSE	FALSE	3.84197311893	0.3440660160695304
ACH-000403	NECAP2	55707	-0.150606202002	COAD	G13D	13	2	FALSE	FALSE	4.94345253856	0.8649705161113106
ACH-000403	OCEL1	79629	0.0508547604763	COAD	G13D	13	2	FALSE	FALSE	2.75702324651	-1.0492580311046387
ACH-000403	ORC4	5000	-0.510183432006	COAD	G13D	13	2	FALSE	FALSE	5.42660022617	1.1449557102937395
ACH-000403	PAX6	5080	0.18003279989	COAD	G13D	13	2	FALSE	FALSE	3.64731450955	2.1092768974318914
ACH-000403	PRMT7	54496	-0.251661308705	COAD	G13D	13	2	FALSE	FALSE	5.27164977246	0.027612385321338383
ACH-000403	PSMB7	5695	-0.610388772564	COAD	G13D	13	2	FALSE	FALSE	8.44261180369	1.5464363156973808
ACH-000403	RNASE6	6039	0.253121211487	COAD	G13D	13	2	FALSE	FALSE	0.0426443374085	-0.917548352554598
ACH-000403	RPP25	54913	0.409073599245	COAD	G13D	13	2	FALSE	FALSE	3.29719141657	-0.44329365470918974
ACH-000403	SERPING1	710	0.0118156951503	COAD	G13D	13	2	FALSE	FALSE	0.659924558402	1.0380533622841333
ACH-000403	STARD9	57519	-0.146687242007	COAD	G13D	13	2	FALSE	FALSE	0.731183241572	-0.2183215977634058
